Destination,Year,Total,Latitude,Longitude,code
Australia,1999,609,133.775136,-25.274398,AUS
Austria,1999,2209,14.550072,47.516231,AUT
Belgium,1999,401,4.469936,50.503887,BEL
Bulgaria,1999,277,25.48583,42.733883,BGR
Canada,1999,539,-106.346771,56.130366,CAN
Czech Republic,1999,2312,15.472962,49.817492,CZE
Denmark,1999,533,9.501785,56.26392,DNK
Finland,1999,24,25.748151,61.92411,FIN
France,1999,163,2.213749,46.227638,FRA
Germany,1999,4500,10.451526,51.165691,DEU
Greece,1999,116,21.824312,39.074208,GRC
Hungary,1999,2238,19.503304,47.162494,HUN
Ireland,1999,13,-8.24389,53.41291,IRL
Luxembourg,1999,6,6.129583,49.815273,LUX
Netherlands,1999,4400,5.291266,52.132633,NLD
Norway,1999,172,8.468946,60.472024,NOR
Poland,1999,551,19.145136,51.919438,POL
Romania,1999,292,24.96676,45.943161,ROU
Slovakia,1999,643,19.699024,48.669026,SVK
Slovenia,1999,4,14.995463,46.151241,SVN
Spain,1999,28,-3.74922,40.463667,ESP
Sweden,1999,351,18.643501,60.128161,SWE
Switzerland,1999,359,8.227512,46.818188,CHE
Turkey,1999,171,35.243322,38.963745,TUR
United Kingdom,1999,3985,-3.435973,55.378051,GBR
United States,1999,157,-95.712891,37.09024,USA
Australia,2000,1312,133.775136,-25.274398,AUS
Austria,2000,4205,14.550072,47.516231,AUT
Belgium,2000,861,4.469936,50.503887,BEL
Bulgaria,2000,675,25.48583,42.733883,BGR
Canada,2000,471,-106.346771,56.130366,CAN
Czech Republic,2000,1117,15.472962,49.817492,CZE
Denmark,2000,1328,9.501785,56.26392,DNK
Finland,2000,31,25.748151,61.92411,FIN
France,2000,240,2.213749,46.227638,FRA
Germany,2000,5399,10.451526,51.165691,DEU
Hungary,2000,2185,19.503304,47.162494,HUN
Ireland,2000,6,-8.24389,53.41291,IRL
Luxembourg,2000,14,6.129583,49.815273,LUX
Netherlands,2000,5055,5.291266,52.132633,NLD
New Zealand,2000,24,174.885971,-40.900557,NZL
Norway,2000,326,8.468946,60.472024,NOR
Poland,2000,288,19.145136,51.919438,POL
Portugal,2000,4,-8.224454,39.399872,PRT
Romania,2000,282,24.96676,45.943161,ROU
Slovakia,2000,624,19.699024,48.669026,SVK
Slovenia,2000,247,14.995463,46.151241,SVN
Spain,2000,37,-3.74922,40.463667,ESP
Sweden,2000,374,18.643501,60.128161,SWE
Switzerland,2000,396,8.227512,46.818188,CHE
Turkey,2000,560,35.243322,38.963745,TUR
United Kingdom,2000,5220,-3.435973,55.378051,GBR
United States,2000,328,-95.712891,37.09024,USA
Australia,2001,2161,133.775136,-25.274398,AUS
Austria,2001,12957,14.550072,47.516231,AUT
Belgium,2001,504,4.469936,50.503887,BEL
Bulgaria,2001,1081,25.48583,42.733883,BGR
Canada,2001,429,-106.346771,56.130366,CAN
Cyprus,2001,8,33.429859,35.126413,CYP
Czech Republic,2001,356,15.472962,49.817492,CZE
Denmark,2001,2667,9.501785,56.26392,DNK
Finland,2001,25,25.748151,61.92411,FIN
France,2001,269,2.213749,46.227638,FRA
Germany,2001,5853,10.451526,51.165691,DEU
Greece,2001,1459,21.824312,39.074208,GRC
Hungary,2001,4311,19.503304,47.162494,HUN
Iceland,2001,1,-19.020835,64.963051,ISL
Ireland,2001,27,-8.24389,53.41291,IRL
Luxembourg,2001,9,6.129583,49.815273,LUX
Netherlands,2001,3614,5.291266,52.132633,NLD
New Zealand,2001,15,174.885971,-40.900557,NZL
Norway,2001,603,8.468946,60.472024,NOR
Poland,2001,422,19.145136,51.919438,POL
Portugal,2001,19,-8.224454,39.399872,PRT
Romania,2001,782,24.96676,45.943161,ROU
Slovakia,2001,4315,19.699024,48.669026,SVK
Slovenia,2001,66,14.995463,46.151241,SVN
South Korea,2001,3,127.766922,35.907757,KOR
Spain,2001,42,-3.74922,40.463667,ESP
Sweden,2001,593,18.643501,60.128161,SWE
Switzerland,2001,452,8.227512,46.818188,CHE
Turkey,2001,781,35.243322,38.963745,TUR
United Kingdom,2001,8920,-3.435973,55.378051,GBR
United States,2001,459,-95.712891,37.09024,USA
Australia,2002,60,133.775136,-25.274398,AUS
Austria,2002,4322,14.550072,47.516231,AUT
Belgium,2002,326,4.469936,50.503887,BEL
Bulgaria,2002,864,25.48583,42.733883,BGR
Canada,2002,88,-106.346771,56.130366,CAN
Cyprus,2002,10,33.429859,35.126413,CYP
Czech Republic,2002,26,15.472962,49.817492,CZE
Denmark,2002,1132,9.501785,56.26392,DNK
Finland,2002,25,25.748151,61.92411,FIN
France,2002,259,2.213749,46.227638,FRA
Germany,2002,2779,10.451526,51.165691,DEU
Greece,2002,1238,21.824312,39.074208,GRC
Hungary,2002,2160,19.503304,47.162494,HUN
Ireland,2002,7,-8.24389,53.41291,IRL
Japan,2002,6,138.252924,36.204824,JPN
Netherlands,2002,1077,5.291266,52.132633,NLD
New Zealand,2002,4,174.885971,-40.900557,NZL
Norway,2002,786,8.468946,60.472024,NOR
Poland,2002,560,19.145136,51.919438,POL
Portugal,2002,7,-8.224454,39.399872,PRT
Romania,2002,35,24.96676,45.943161,ROU
Slovakia,2002,1669,19.699024,48.669026,SVK
Slovenia,2002,3,14.995463,46.151241,SVN
South Korea,2002,1,127.766922,35.907757,KOR
Spain,2002,16,-3.74922,40.463667,ESP
Sweden,2002,527,18.643501,60.128161,SWE
Switzerland,2002,226,8.227512,46.818188,CHE
Turkey,2002,103,35.243322,38.963745,TUR
United Kingdom,2002,8064,-3.435973,55.378051,GBR
United States,2002,118,-95.712891,37.09024,USA
Australia,2003,31,133.775136,-25.274398,AUS
Austria,2003,2359,14.550072,47.516231,AUT
Belgium,2003,329,4.469936,50.503887,BEL
Bulgaria,2003,525,25.48583,42.733883,BGR
Canada,2003,121,-106.346771,56.130366,CAN
Cyprus,2003,52,33.429859,35.126413,CYP
Czech Republic,2003,50,15.472962,49.817492,CZE
Denmark,2003,653,9.501785,56.26392,DNK
Finland,2003,51,25.748151,61.92411,FIN
France,2003,346,2.213749,46.227638,FRA
Germany,2003,1467,10.451526,51.165691,DEU
Greece,2003,593,21.824312,39.074208,GRC
Hungary,2003,469,19.503304,47.162494,HUN
Iceland,2003,3,-19.020835,64.963051,ISL
Ireland,2003,24,-8.24389,53.41291,IRL
Japan,2003,3,138.252924,36.204824,JPN
Luxembourg,2003,2,6.129583,49.815273,LUX
Netherlands,2003,492,5.291266,52.132633,NLD
New Zealand,2003,4,174.885971,-40.900557,NZL
Norway,2003,2050,8.468946,60.472024,NOR
Poland,2003,251,19.145136,51.919438,POL
Romania,2003,16,24.96676,45.943161,ROU
Serbia,2003,26,21.005859,44.016521,SRB
Slovakia,2003,629,19.699024,48.669026,SVK
Slovenia,2003,2,14.995463,46.151241,SVN
Spain,2003,10,-3.74922,40.463667,ESP
Sweden,2003,811,18.643501,60.128161,SWE
Switzerland,2003,190,8.227512,46.818188,CHE
Turkey,2003,101,35.243322,38.963745,TUR
United Kingdom,2003,2591,-3.435973,55.378051,GBR
United States,2003,57,-95.712891,37.09024,USA
Australia,2004,112,133.775136,-25.274398,AUS
Austria,2004,757,14.550072,47.516231,AUT
Belgium,2004,287,4.469936,50.503887,BEL
Bulgaria,2004,426,25.48583,42.733883,BGR
Canada,2004,128,-106.346771,56.130366,CAN
Cyprus,2004,80,33.429859,35.126413,CYP
Czech Republic,2004,15,15.472962,49.817492,CZE
Denmark,2004,285,9.501785,56.26392,DNK
Finland,2004,164,25.748151,61.92411,FIN
France,2004,164,2.213749,46.227638,FRA
Germany,2004,912,10.451526,51.165691,DEU
Greece,2004,382,21.824312,39.074208,GRC
Hungary,2004,38,19.503304,47.162494,HUN
Iceland,2004,2,-19.020835,64.963051,ISL
Ireland,2004,106,-8.24389,53.41291,IRL
Lithuania,2004,8,23.881275,55.169438,LTU
Luxembourg,2004,6,6.129583,49.815273,LUX
Netherlands,2004,689,5.291266,52.132633,NLD
Norway,2004,1059,8.468946,60.472024,NOR
Poland,2004,57,19.145136,51.919438,POL
Romania,2004,1,24.96676,45.943161,ROU
Slovakia,2004,396,19.699024,48.669026,SVK
Slovenia,2004,4,14.995463,46.151241,SVN
South Korea,2004,1,127.766922,35.907757,KOR
Spain,2004,14,-3.74922,40.463667,ESP
Sweden,2004,903,18.643501,60.128161,SWE
Switzerland,2004,206,8.227512,46.818188,CHE
Turkey,2004,353,35.243322,38.963745,TUR
United Kingdom,2004,1605,-3.435973,55.378051,GBR
United States,2004,39,-95.712891,37.09024,USA
Australia,2005,29,133.775136,-25.274398,AUS
Austria,2005,928,14.550072,47.516231,AUT
Belgium,2005,253,4.469936,50.503887,BEL
Bulgaria,2005,385,25.48583,42.733883,BGR
Canada,2005,238,-106.346771,56.130366,CAN
Cyprus,2005,53,33.429859,35.126413,CYP
Czech Republic,2005,2,15.472962,49.817492,CZE
Denmark,2005,173,9.501785,56.26392,DNK
Finland,2005,237,25.748151,61.92411,FIN
France,2005,135,2.213749,46.227638,FRA
Germany,2005,685,10.451526,51.165691,DEU
Greece,2005,458,21.824312,39.074208,GRC
Hungary,2005,23,19.503304,47.162494,HUN
Iceland,2005,6,-19.020835,64.963051,ISL
Ireland,2005,142,-8.24389,53.41291,IRL
Japan,2005,2,138.252924,36.204824,JPN
Liechtenstein,2005,1,9.555373,47.166,LIE
Lithuania,2005,2,23.881275,55.169438,LTU
Luxembourg,2005,3,6.129583,49.815273,LUX
Malta,2005,1,14.375416,35.937496,MLT
Netherlands,2005,902,5.291266,52.132633,NLD
New Zealand,2005,1,174.885971,-40.900557,NZL
Norway,2005,466,8.468946,60.472024,NOR
Poland,2005,3,19.145136,51.919438,POL
Slovakia,2005,109,19.699024,48.669026,SVK
Slovenia,2005,4,14.995463,46.151241,SVN
Spain,2005,10,-3.74922,40.463667,ESP
Sweden,2005,435,18.643501,60.128161,SWE
Switzerland,2005,241,8.227512,46.818188,CHE
Turkey,2005,359,35.243322,38.963745,TUR
United Kingdom,2005,1773,-3.435973,55.378051,GBR
United States,2005,47,-95.712891,37.09024,USA
Australia,2006,22,133.775136,-25.274398,AUS
Austria,2006,699,14.550072,47.516231,AUT
Belgium,2006,365,4.469936,50.503887,BEL
Bulgaria,2006,277,25.48583,42.733883,BGR
Canada,2006,229,-106.346771,56.130366,CAN
Cyprus,2006,9,33.429859,35.126413,CYP
Czech Republic,2006,1,15.472962,49.817492,CZE
Denmark,2006,122,9.501785,56.26392,DNK
Finland,2006,96,25.748151,61.92411,FIN
France,2006,82,2.213749,46.227638,FRA
Germany,2006,525,10.451526,51.165691,DEU
Greece,2006,1087,21.824312,39.074208,GRC
Hungary,2006,13,19.503304,47.162494,HUN
Iceland,2006,2,-19.020835,64.963051,ISL
Ireland,2006,88,-8.24389,53.41291,IRL
Japan,2006,3,138.252924,36.204824,JPN
Latvia,2006,1,24.603189,56.879635,LVA
Lithuania,2006,2,23.881275,55.169438,LTU
Luxembourg,2006,8,6.129583,49.815273,LUX
Netherlands,2006,932,5.291266,52.132633,NLD
Norway,2006,224,8.468946,60.472024,NOR
Poland,2006,8,19.145136,51.919438,POL
Romania,2006,5,24.96676,45.943161,ROU
Slovakia,2006,41,19.699024,48.669026,SVK
Slovenia,2006,2,14.995463,46.151241,SVN
Spain,2006,7,-3.74922,40.463667,ESP
Sweden,2006,594,18.643501,60.128161,SWE
Switzerland,2006,229,8.227512,46.818188,CHE
Turkey,2006,259,35.243322,38.963745,TUR
United Kingdom,2006,2648,-3.435973,55.378051,GBR
United States,2006,73,-95.712891,37.09024,USA
Albania,2007,1,20.168331,41.153332,ALB
Australia,2007,20,133.775136,-25.274398,AUS
Austria,2007,761,14.550072,47.516231,AUT
Belgium,2007,696,4.469936,50.503887,BEL
Bulgaria,2007,77,25.48583,42.733883,BGR
Canada,2007,270,-106.346771,56.130366,CAN
Croatia,2007,1,15.2,45.1,HRV
Cyprus,2007,24,33.429859,35.126413,CYP
Czech Republic,2007,21,15.472962,49.817492,CZE
Denmark,2007,144,9.501785,56.26392,DNK
Finland,2007,70,25.748151,61.92411,FIN
France,2007,184,2.213749,46.227638,FRA
Germany,2007,329,10.451526,51.165691,DEU
Greece,2007,1556,21.824312,39.074208,GRC
Hungary,2007,35,19.503304,47.162494,HUN
Iceland,2007,1,-19.020835,64.963051,ISL
Ireland,2007,78,-8.24389,53.41291,IRL
Japan,2007,12,138.252924,36.204824,JPN
Luxembourg,2007,3,6.129583,49.815273,LUX
Malta,2007,1,14.375416,35.937496,MLT
Netherlands,2007,143,5.291266,52.132633,NLD
New Zealand,2007,3,174.885971,-40.900557,NZL
Norway,2007,206,8.468946,60.472024,NOR
Poland,2007,9,19.145136,51.919438,POL
Portugal,2007,7,-8.224454,39.399872,PRT
Romania,2007,3,24.96676,45.943161,ROU
Slovakia,2007,66,19.699024,48.669026,SVK
Slovenia,2007,12,14.995463,46.151241,SVN
South Korea,2007,1,127.766922,35.907757,KOR
Spain,2007,15,-3.74922,40.463667,ESP
Sweden,2007,609,18.643501,60.128161,SWE
Switzerland,2007,314,8.227512,46.818188,CHE
Turkey,2007,705,35.243322,38.963745,TUR
United Kingdom,2007,2815,-3.435973,55.378051,GBR
United States,2007,101,-95.712891,37.09024,USA
Australia,2008,78,133.775136,-25.274398,AUS
Austria,2008,1382,14.550072,47.516231,AUT
Belgium,2008,879,4.469936,50.503887,BEL
Bulgaria,2008,55,25.48583,42.733883,BGR
Canada,2008,408,-106.346771,56.130366,CAN
Croatia,2008,1,15.2,45.1,HRV
Cyprus,2008,33,33.429859,35.126413,CYP
Czech Republic,2008,28,15.472962,49.817492,CZE
Denmark,2008,418,9.501785,56.26392,DNK
Finland,2008,249,25.748151,61.92411,FIN
France,2008,263,2.213749,46.227638,FRA
Germany,2008,650,10.451526,51.165691,DEU
Greece,2008,2287,21.824312,39.074208,GRC
Hungary,2008,116,19.503304,47.162494,HUN
Iceland,2008,5,-19.020835,64.963051,ISL
Ireland,2008,79,-8.24389,53.41291,IRL
Italy,2008,2005,12.56738,41.87194,ITA
Japan,2008,4,138.252924,36.204824,JPN
Latvia,2008,10,24.603189,56.879635,LVA
Lithuania,2008,1,23.881275,55.169438,LTU
Luxembourg,2008,4,6.129583,49.815273,LUX
Macedonia [FYROM],2008,6,21.745275,41.608635,MKD
Montenegro,2008,1,19.37439,42.708678,MNE
Netherlands,2008,395,5.291266,52.132633,NLD
New Zealand,2008,2,174.885971,-40.900557,NZL
Norway,2008,1320,8.468946,60.472024,NOR
Poland,2008,4,19.145136,51.919438,POL
Portugal,2008,1,-8.224454,39.399872,PRT
Romania,2008,5,24.96676,45.943161,ROU
Slovakia,2008,75,19.699024,48.669026,SVK
Slovenia,2008,10,14.995463,46.151241,SVN
Spain,2008,50,-3.74922,40.463667,ESP
Sweden,2008,784,18.643501,60.128161,SWE
Switzerland,2008,382,8.227512,46.818188,CHE
Turkey,2008,2642,35.243322,38.963745,TUR
United Kingdom,2008,3731,-3.435973,55.378051,GBR
United States,2008,73,-95.712891,37.09024,USA
Australia,2009,1370,133.775136,-25.274398,AUS
Austria,2009,2237,14.550072,47.516231,AUT
Belgium,2009,1228,4.469936,50.503887,BEL
Bulgaria,2009,58,25.48583,42.733883,BGR
Canada,2009,410,-106.346771,56.130366,CAN
Croatia,2009,25,15.2,45.1,HRV
Cyprus,2009,49,33.429859,35.126413,CYP
Czech Republic,2009,4,15.472962,49.817492,CZE
Denmark,2009,1059,9.501785,56.26392,DNK
Estonia,2009,9,25.013607,58.595272,EST
Finland,2009,461,25.748151,61.92411,FIN
France,2009,688,2.213749,46.227638,FRA
Germany,2009,3375,10.451526,51.165691,DEU
Greece,2009,1510,21.824312,39.074208,GRC
Hungary,2009,1194,19.503304,47.162494,HUN
Iceland,2009,2,-19.020835,64.963051,ISL
Ireland,2009,68,-8.24389,53.41291,IRL
Italy,2009,620,12.56738,41.87194,ITA
Japan,2009,5,138.252924,36.204824,JPN
Latvia,2009,18,24.603189,56.879635,LVA
Liechtenstein,2009,2,9.555373,47.166,LIE
Lithuania,2009,8,23.881275,55.169438,LTU
Luxembourg,2009,13,6.129583,49.815273,LUX
Macedonia [FYROM],2009,71,21.745275,41.608635,MKD
Netherlands,2009,1281,5.291266,52.132633,NLD
New Zealand,2009,1,174.885971,-40.900557,NZL
Norway,2009,3802,8.468946,60.472024,NOR
Poland,2009,14,19.145136,51.919438,POL
Romania,2009,87,24.96676,45.943161,ROU
Serbia,2009,235,21.005859,44.016521,SRB
Slovakia,2009,51,19.699024,48.669026,SVK
Slovenia,2009,11,14.995463,46.151241,SVN
South Korea,2009,8,127.766922,35.907757,KOR
Spain,2009,43,-3.74922,40.463667,ESP
Sweden,2009,1694,18.643501,60.128161,SWE
Switzerland,2009,719,8.227512,46.818188,CHE
Turkey,2009,1009,35.243322,38.963745,TUR
United Kingdom,2009,3533,-3.435973,55.378051,GBR
United States,2009,130,-95.712891,37.09024,USA
Australia,2010,3129,133.775136,-25.274398,AUS
Austria,2010,1582,14.550072,47.516231,AUT
Belgium,2010,1124,4.469936,50.503887,BEL
Bosnia and Herzegovina,2010,11,17.679076,43.915886,BIH
Bulgaria,2010,58,25.48583,42.733883,BGR
Canada,2010,392,-106.346771,56.130366,CAN
Croatia,2010,107,15.2,45.1,HRV
Cyprus,2010,41,33.429859,35.126413,CYP
Czech Republic,2010,6,15.472962,49.817492,CZE
Denmark,2010,1476,9.501785,56.26392,DNK
Estonia,2010,9,25.013607,58.595272,EST
Finland,2010,265,25.748151,61.92411,FIN
France,2010,770,2.213749,46.227638,FRA
Germany,2010,5905,10.451526,51.165691,DEU
Greece,2010,524,21.824312,39.074208,GRC
Hungary,2010,796,19.503304,47.162494,HUN
Iceland,2010,7,-19.020835,64.963051,ISL
Ireland,2010,69,-8.24389,53.41291,IRL
Italy,2010,873,12.56738,41.87194,ITA
Japan,2010,1,138.252924,36.204824,JPN
Latvia,2010,23,24.603189,56.879635,LVA
Lithuania,2010,26,23.881275,55.169438,LTU
Luxembourg,2010,12,6.129583,49.815273,LUX
Macedonia [FYROM],2010,71,21.745275,41.608635,MKD
Netherlands,2010,1364,5.291266,52.132633,NLD
New Zealand,2010,4,174.885971,-40.900557,NZL
Norway,2010,930,8.468946,60.472024,NOR
Poland,2010,25,19.145136,51.919438,POL
Portugal,2010,2,-8.224454,39.399872,PRT
Romania,2010,120,24.96676,45.943161,ROU
Serbia,2010,425,21.005859,44.016521,SRB
Slovakia,2010,76,19.699024,48.669026,SVK
Slovenia,2010,23,14.995463,46.151241,SVN
South Korea,2010,15,127.766922,35.907757,KOR
Spain,2010,41,-3.74922,40.463667,ESP
Sweden,2010,2397,18.643501,60.128161,SWE
Switzerland,2010,632,8.227512,46.818188,CHE
Turkey,2010,1248,35.243322,38.963745,TUR
United Kingdom,2010,1835,-3.435973,55.378051,GBR
United States,2010,156,-95.712891,37.09024,USA
Australia,2011,1719,133.775136,-25.274398,AUS
Austria,2011,3623,14.550072,47.516231,AUT
Belgium,2011,2773,4.469936,50.503887,BEL
Bosnia and Herzegovina,2011,2,17.679076,43.915886,BIH
Bulgaria,2011,80,25.48583,42.733883,BGR
Canada,2011,397,-106.346771,56.130366,CAN
Croatia,2011,487,15.2,45.1,HRV
