"Destination","Year","Total","Latitude","Longitude","code"
"Australia",1999,609,-25.274398,133.775136,"AUS"
"Austria",1999,2209,47.516231,14.550072,"AUT"
"Belgium",1999,401,50.503887,4.469936,"BEL"
"Bulgaria",1999,277,42.733883,25.48583,"BGR"
"Canada",1999,539,56.130366,-106.346771,"CAN"
"Czech Republic",1999,2312,49.817492,15.472962,"CZE"
"Denmark",1999,533,56.26392,9.501785,"DNK"
"Finland",1999,24,61.92411,25.748151,"FIN"
"France",1999,163,46.227638,2.213749,"FRA"
"Germany",1999,4500,51.165691,10.451526,"DEU"
"Greece",1999,116,39.074208,21.824312,"GRC"
"Hungary",1999,2238,47.162494,19.503304,"HUN"
"Ireland",1999,13,53.41291,-8.24389,"IRL"
"Luxembourg",1999,6,49.815273,6.129583,"LUX"
"Netherlands",1999,4400,52.132633,5.291266,"NLD"
"Norway",1999,172,60.472024,8.468946,"NOR"
"Poland",1999,551,51.919438,19.145136,"POL"
"Romania",1999,292,45.943161,24.96676,"ROU"
"Slovakia",1999,643,48.669026,19.699024,"SVK"
"Slovenia",1999,4,46.151241,14.995463,"SVN"
"Spain",1999,28,40.463667,-3.74922,"ESP"
"Sweden",1999,351,60.128161,18.643501,"SWE"
"Switzerland",1999,359,46.818188,8.227512,"CHE"
"Turkey",1999,171,38.963745,35.243322,"TUR"
"United Kingdom",1999,3985,55.378051,-3.435973,"GBR"
"United States",1999,157,37.09024,-95.712891,"USA"
"Australia",2000,1312,-25.274398,133.775136,"AUS"
"Austria",2000,4205,47.516231,14.550072,"AUT"
"Belgium",2000,861,50.503887,4.469936,"BEL"
"Bulgaria",2000,675,42.733883,25.48583,"BGR"
"Canada",2000,471,56.130366,-106.346771,"CAN"
"Czech Republic",2000,1117,49.817492,15.472962,"CZE"
"Denmark",2000,1328,56.26392,9.501785,"DNK"
"Finland",2000,31,61.92411,25.748151,"FIN"
"France",2000,240,46.227638,2.213749,"FRA"
"Germany",2000,5399,51.165691,10.451526,"DEU"
"Hungary",2000,2185,47.162494,19.503304,"HUN"
"Ireland",2000,6,53.41291,-8.24389,"IRL"
"Luxembourg",2000,14,49.815273,6.129583,"LUX"
"Netherlands",2000,5055,52.132633,5.291266,"NLD"
"New Zealand",2000,24,-40.900557,174.885971,"NZL"
"Norway",2000,326,60.472024,8.468946,"NOR"
"Poland",2000,288,51.919438,19.145136,"POL"
"Portugal",2000,4,39.399872,-8.224454,"PRT"
"Romania",2000,282,45.943161,24.96676,"ROU"
"Slovakia",2000,624,48.669026,19.699024,"SVK"
"Slovenia",2000,247,46.151241,14.995463,"SVN"
"Spain",2000,37,40.463667,-3.74922,"ESP"
"Sweden",2000,374,60.128161,18.643501,"SWE"
"Switzerland",2000,396,46.818188,8.227512,"CHE"
